GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
Nova Scotia [12],2010,Homicide [110],21,2.23
Nova Scotia [12],2010,Attempted murder [1210],24,2.55
Nova Scotia [12],2010,"Sexual assault, level 3, aggravated [1310]",6,0.64
Nova Scotia [12],2010,"Sexual assault, level 2, weapon or bodily harm [1320]",13,1.38
Nova Scotia [12],2010,"Sexual assault, level 1 [1330]",662,70.27
Nova Scotia [12],2010,Total sexual violations against children [130],93,9.87
Nova Scotia [12],2010,"Assault, level 3, aggravated [1410]",85,9.02
Nova Scotia [12],2010,"Assault, level 2, weapon or bodily harm [1420]",1212,128.65
Nova Scotia [12],2010,"Assault, level 1 [1430]",5780,613.54
Nova Scotia [12],2010,Total robbery [160],490,52.01
Nova Scotia [12],2010,Total breaking and entering [210],5269,559.3
Nova Scotia [12],2010,Total theft of motor vehicle [220],1281,135.98
Nova Scotia [12],2010,Total impaired driving [910],3431,364.2
Nova Scotia [12],2010,Total Drug violations [401],3136,332.88
Nova Scotia [12],2010,"Possession, cocaine [4120]",126,13.37
Nova Scotia [12],2010,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",214,22.72
Nova Scotia [12],2010,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",727,77.17
Nova Scotia [12],2010,"Total cocaine, trafficking, production or distribution [430]",191,20.27
Nova Scotia [12],2010,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",228,24.2
"Amherst, Nova Scotia, municipal [12001]",2010,Homicide [110],1,10.14
"Amherst, Nova Scotia, municipal [12001]",2010,Attempted murder [1210],0,0
"Amherst, Nova Scotia, municipal [12001]",2010,"Sexual assault, level 3, aggravated [1310]",0,0
"Amherst, Nova Scotia, municipal [12001]",2010,"Sexual assault, level 2, weapon or bodily harm [1320]",0,0
"Amherst, Nova Scotia, municipal [12001]",2010,"Sexual assault, level 1 [1330]",8,81.15
"Amherst, Nova Scotia, municipal [12001]",2010,Total sexual violations against children [130],2,20.29
"Amherst, Nova Scotia, municipal [12001]",2010,"Assault, level 3, aggravated [1410]",0,0
"Amherst, Nova Scotia, municipal [12001]",2010,"Assault, level 2, weapon or bodily harm [1420]",17,172.45
"Amherst, Nova Scotia, municipal [12001]",2010,"Assault, level 1 [1430]",153,1552.04
"Amherst, Nova Scotia, municipal [12001]",2010,Total robbery [160],6,60.86
"Amherst, Nova Scotia, municipal [12001]",2010,Total breaking and entering [210],58,588.35
"Amherst, Nova Scotia, municipal [12001]",2010,Total theft of motor vehicle [220],4,40.58
"Amherst, Nova Scotia, municipal [12001]",2010,Total impaired driving [910],60,608.64
"Amherst, Nova Scotia, municipal [12001]",2010,Total Drug violations [401],74,750.66
"Amherst, Nova Scotia, municipal [12001]",2010,"Possession, cocaine [4120]",1,10.14
"Amherst, Nova Scotia, municipal [12001]",2010,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",0,0
"Amherst, Nova Scotia, municipal [12001]",2010,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",6,60.86
"Amherst, Nova Scotia, municipal [12001]",2010,"Total cocaine, trafficking, production or distribution [430]",7,71.01
"Amherst, Nova Scotia, municipal [12001]",2010,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",0,0
"Annapolis Royal, Nova Scotia, municipal [12002]",2010,Homicide [110],0,0
"Annapolis Royal, Nova Scotia, municipal [12002]",2010,Attempted murder [1210],0,0
"Annapolis Royal, Nova Scotia, municipal [12002]",2010,"Sexual assault, level 3, aggravated [1310]",0,0
"Annapolis Royal, Nova Scotia, municipal [12002]",2010,"Sexual assault, level 2, weapon or bodily harm [1320]",0,0
"Annapolis Royal, Nova Scotia, municipal [12002]",2010,"Sexual assault, level 1 [1330]",1,
"Annapolis Royal, Nova Scotia, municipal [12002]",2010,Total sexual violations against children [130],0,0
"Annapolis Royal, Nova Scotia, municipal [12002]",2010,"Assault, level 3, aggravated [1410]",0,0
"Annapolis Royal, Nova Scotia, municipal [12002]",2010,"Assault, level 2, weapon or bodily harm [1420]",0,
"Annapolis Royal, Nova Scotia, municipal [12002]",2010,"Assault, level 1 [1430]",4,
"Annapolis Royal, Nova Scotia, municipal [12002]",2010,Total robbery [160],0,0
"Annapolis Royal, Nova Scotia, municipal [12002]",2010,Total breaking and entering [210],5,
"Annapolis Royal, Nova Scotia, municipal [12002]",2010,Total theft of motor vehicle [220],1,
"Annapolis Royal, Nova Scotia, municipal [12002]",2010,Total impaired driving [910],4,
"Annapolis Royal, Nova Scotia, municipal [12002]",2010,Total Drug violations [401],2,
