OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
1,GO-2004111878,1/3/2004 5:00:00 AM,2004,January,3,Saturday,3,D53,Other,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.3928283608846,43.6850264414524,-8837969.22578428,5416827.9805029
2,GO-2004125755,1/8/2004 5:00:00 AM,2004,January,8,Thursday,8,D42,Shooting,142,Woburn North (142),137,Woburn (137),-79.2338520249659,43.7817816964629,-8820272.06101258,5431734.26686234
3,GO-2004136086,1/8/2004 5:00:00 AM,2004,January,8,Thursday,8,D42,Shooting,146,Malvern East (146),132,Malvern (132),-79.2055741836332,43.8105442060169,-8817124.18615173,5436170.12011861
4,GO-2004148619,1/25/2004 5:00:00 AM,2004,January,25,Sunday,25,D42,Shooting,144,Morningside Heights (144),131,Rouge (131),-79.2049581138964,43.8229965732354,-8817055.60555304,5438091.22959923
5,GO-2004148623,1/25/2004 5:00:00 AM,2004,January,25,Sunday,25,D13,Shooting,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.4343873257532,43.6704670208731,-8842595.54860598,5414587.01279498
6,GO-2004152518,2/20/2004 5:00:00 AM,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),-79.5086095440153,43.7208566464396,-8850857.92811929,5422345.23821276
7,GO-2004152518,2/20/2004 5:00:00 AM,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),-79.5086095440153,43.7208566464396,-8850857.92811929,5422345.23821276
8,GO-2004133635,2/21/2004 5:00:00 AM,2004,February,21,Saturday,52,D23,Other,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.592850064842,43.743128970351,-8860235.54002116,5425776.47003862
9,GO-2004172092,2/21/2004 5:00:00 AM,2004,February,21,Saturday,52,D31,Shooting,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),-79.5089706444244,43.7223819464395,-8850898.12558741,5422580.18233126
10,GO-2004218585,3/3/2004 5:00:00 AM,2004,March,3,Wednesday,63,D42,Shooting,129,Agincourt North (129),129,Agincourt North (129),-79.2664911400733,43.8080313600041,-8823905.43067433,5435782.49522495
11,GO-2004218803,3/3/2004 5:00:00 AM,2004,March,3,Wednesday,63,D42,Shooting,144,Morningside Heights (144),131,Rouge (131),-79.2275699804383,43.8163334699762,-8819572.74696204,5437063.21855038
12,GO-2004301868,3/3/2004 5:00:00 AM,2004,March,3,Wednesday,63,D54,Shooting,058,Old East York (58),058,Old East York (58),-79.3287658345987,43.6959378070911,-8830837.81801103,5418507.8008735
13,GO-2004200779,3/4/2004 5:00:00 AM,2004,March,4,Thursday,64,D41,Shooting,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),-79.2867250682331,43.7001000127995,-8826157.86123603,5419148.65896319
14,GO-2004229133,3/13/2004 5:00:00 AM,2004,March,13,Saturday,73,D41,Stabbing,142,Woburn North (142),137,Woburn (137),-79.2416512263991,43.7679600915063,-8821140.2640965,5429603.41070467
15,GO-2004219659,3/18/2004 5:00:00 AM,2004,March,18,Thursday,78,D53,Other,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),-79.4274773983584,43.709723265232,-8841826.3389396,5420630.52890749
16,GO-2004219687,3/24/2004 5:00:00 AM,2004,March,24,Wednesday,84,D42,Other,141,Golfdale-Cedarbrae-Woburn (141),137,Woburn (137),-79.2252361746068,43.7598296050385,-8819312.94897783,5428350.17561008
17,GO-2004256410,4/1/2004 5:00:00 AM,2004,April,1,Thursday,92,D51,Other,073,Moss Park (73),073,Moss Park (73),-79.37100285365,43.6582965974003,-8835539.62145874,5412714.17346526
18,GO-2004250857,4/13/2004 5:00:00 AM,2004,April,13,Tuesday,104,D23,Shooting,005,Elms-Old Rexdale (5),005,Elms-Old Rexdale (5),-79.5505513709288,43.7250949227828,-8855526.87094387,5422998.08080154
19,GO-2004350484,5/1/2004 5:00:00 AM,2004,May,1,Saturday,122,D23,Shooting,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.5792481726121,43.7352650767974,-8858721.3843299,5424564.82791599
20,GO-2004311851,5/15/2004 5:00:00 AM,2004,May,15,Saturday,136,D31,Shooting,024,Black Creek (24),024,Black Creek (24),-79.5187419135578,43.7692318856585,-8851985.85838822,5429799.46072449
21,GO-2004311870,5/19/2004 5:00:00 AM,2004,May,19,Wednesday,140,D22,Stabbing,020,Alderwood (20),020,Alderwood (20),-79.5441334261346,43.5943351714798,-8854812.42857453,5402877.73663031
22,GO-2004374908,5/20/2004 5:00:00 AM,2004,May,20,Thursday,141,D13,Other,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),-79.4570370392729,43.7101577548672,-8845116.90312375,5420697.44097526
23,GO-2004408720,5/21/2004 5:00:00 AM,2004,May,21,Friday,142,D23,Other,003,Thistletown-Beaumond Heights (3),003,Thistletown-Beaumond Heights (3),-79.5779604734382,43.7368201752466,-8858578.03822161,5424804.41955061
24,GO-2004374867,5/21/2004 5:00:00 AM,2004,May,21,Friday,142,D51,Shooting,072,Regent Park (72),072,Regent Park (72),-79.3630013598392,43.6600896991935,-8834648.89922107,5412990.08018074
25,GO-2004308782,5/22/2004 5:00:00 AM,2004,May,22,Saturday,143,D31,Shooting,029,Maple Leaf (29),029,Maple Leaf (29),-79.479389137165,43.7147342483989,-8847605.12729127,5421402.25676339
26,GO-2004418221,5/25/2004 5:00:00 AM,2004,May,25,Tuesday,146,D11,Other,086,Roncesvalles (86),086,Roncesvalles (86),-79.4387161204267,43.6424553916869,-8843077.42774981,5410277.0264475
27,GO-2004456650,6/1/2004 5:00:00 AM,2004,June,1,Tuesday,153,D51,Other,073,Moss Park (73),073,Moss Park (73),-79.3733324528053,43.660421299525,-8835798.95123317,5413041.10491976
28,GO-2004455137,6/4/2004 5:00:00 AM,2004,June,4,Friday,156,D14,Shooting,085,South Parkdale (85),085,South Parkdale (85),-79.4281166239598,43.6359764797773,-8841897.49725243,5409280.44015338
29,GO-2004456829,6/18/2004 5:00:00 AM,2004,June,18,Friday,170,D51,Stabbing,073,Moss Park (73),073,Moss Park (73),-79.3694490534279,43.6545223936261,-8835366.65312263,5412133.45932879
30,GO-2004510813,6/19/2004 5:00:00 AM,2004,June,19,Saturday,171,D31,Shooting,023,Pelmo Park-Humberlea (23),023,Pelmo Park-Humberlea (23),-79.5351231325013,43.7112128334883,-8853809.40734587,5420859.92648221
31,GO-2004564223,7/1/2004 5:00:00 AM,2004,July,1,Thursday,183,D31,Shooting,024,Black Creek (24),024,Black Creek (24),-79.5226546089477,43.7721578775401,-8852421.41760325,5430250.52506382
32,GO-2004565547,7/5/2004 5:00:00 AM,2004,July,5,Monday,187,D41,Stabbing,121,Oakridge (121),121,Oakridge (121),-79.2757863751624,43.6995355197743,-8824940.17150133,5419061.74093008
33,GO-2004565561,7/7/2004 5:00:00 AM,2004,July,7,Wednesday,189,D22,Stabbing,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),-79.4852412117798,43.6301484953454,-8848256.57730036,5408384.0712512
34,GO-2004564251,7/8/2004 5:00:00 AM,2004,July,8,Thursday,190,D31,Stabbing,028,Rustic (28),028,Rustic (28),-79.505284642677,43.7084272464395,-8850487.80183303,5420430.94304988
35,GO-2004565588,7/9/2004 5:00:00 AM,2004,July,9,Friday,191,D32,Stabbing,151,Yonge-Doris (151),051,Willowdale East (51),-79.4124392781433,43.7674757874038,-8840152.30307871,5429528.75505206
36,GO-2004986698,7/12/2004 5:00:00 AM,2004,July,12,Monday,194,D42,Other,146,Malvern East (146),132,Malvern (132),-79.2360440732869,43.7918742875241,-8820516.07867974,5433290.53798694
37,GO-2004592201,7/21/2004 5:00:00 AM,2004,July,21,Wednesday,203,D33,Shooting,048,Hillcrest Village (48),048,Hillcrest Village (48),-79.3563287907612,43.8008704083347,-8833906.11223771,5434677.9553911
38,GO-2004593866,7/23/2004 5:00:00 AM,2004,July,23,Friday,205,D11,Other,090,Junction Area (90),090,Junction Area (90),-79.4676406243715,43.6632464546761,-8846297.28880654,5413475.83396569
39,GO-2004594159,7/24/2004 5:00:00 AM,2004,July,24,Saturday,206,D51,Shooting,073,Moss Park (73),073,Moss Park (73),-79.3666616540012,43.6506676897713,-8835056.36128531,5411540.39665495
40,GO-2004607864,8/5/2004 5:00:00 AM,2004,August,5,Thursday,218,D11,Other,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.4533879192275,43.6633245266203,-8844710.68494351,5413487.8478151
41,GO-2004616055,8/18/2004 5:00:00 AM,2004,August,18,Wednesday,231,D31,Stabbing,028,Rustic (28),028,Rustic (28),-79.5037893471226,43.7028788545426,-8850321.34624372,5419576.54419025
42,GO-2004605174,8/19/2004 5:00:00 AM,2004,August,19,Thursday,232,D13,Stabbing,108,Briar Hill-Belgravia (108),108,Briar Hill-Belgravia (108),-79.4410793814915,43.7022392599214,-8843340.50476094,5419478.05779396
43,GO-2004635798,8/30/2004 5:00:00 AM,2004,August,30,Monday,243,D51,Other,073,Moss Park (73),073,Moss Park (73),-79.3726901505519,43.6523765914803,-8835727.4505016,5411803.31367544
44,GO-2004592255,8/30/2004 5:00:00 AM,2004,August,30,Monday,243,D42,Shooting,134,Highland Creek (134),134,Highland Creek (134),-79.157766436863,43.7938442738261,-8811802.25209972,5433594.33920145
45,GO-2004642839,8/31/2004 5:00:00 AM,2004,August,31,Tuesday,244,D31,Stabbing,022,Humbermede (22),022,Humbermede (22),-79.549065492577,43.750643884213,-8855361.46376152,5426934.49138279
46,GO-2004642110,9/5/2004 5:00:00 AM,2004,September,5,Sunday,249,D23,Shooting,006,Kingsview Village-The Westway (6),006,Kingsview Village-The Westway (6),-79.5614291346049,43.7006338670276,-8856737.77809332,5419230.86009707
47,GO-2004650681,9/21/2004 5:00:00 AM,2004,September,21,Tuesday,265,D23,Shooting,001,West Humber-Clairville (1),001,West Humber-Clairville (1),-79.6133075830361,43.7321698925754,-8862512.86050782,5424087.97603853
48,GO-2004633558,9/22/2004 5:00:00 AM,2004,September,22,Wednesday,266,D11,Other,027,York University Heights (27),027,York University Heights (27),-79.4923569044387,43.745323140381,-8849048.69251044,5426114.56875369
49,GO-2004676448,10/8/2004 5:00:00 AM,2004,October,8,Friday,282,D55,Other,070,South Riverdale (70),070,South Riverdale (70),-79.3372634872614,43.6605589245325,-8831783.77230461,5413062.28189795
50,GO-2004683174,10/15/2004 5:00:00 AM,2004,October,15,Friday,289,D31,Shooting,028,Rustic (28),028,Rustic (28),-79.500535643581,43.7112701464396,-8849959.14568257,5420868.75295598
51,GO-2004643900,10/21/2004 5:00:00 AM,2004,October,21,Thursday,295,D11,Other,088,High Park North (88),088,High Park North (88),-79.4728554197439,43.6518945447855,-8846877.79724185,5411729.14940697
52,GO-2004696852,10/27/2004 5:00:00 AM,2004,October,27,Wednesday,301,D53,Other,099,Mount Pleasant East (99),099,Mount Pleasant East (99),-79.3785768832516,43.701013155978,-8836382.75851027,5419289.26225064
53,GO-2004697185,11/12/2004 5:00:00 AM,2004,November,12,Friday,317,D13,Other,092,Corso Italia-Davenport (92),092,Corso Italia-Davenport (92),-79.4505288172627,43.6762050187581,-8844392.41116474,5415470.13334772
54,GO-2004734705,12/1/2004 5:00:00 AM,2004,December,1,Wednesday,336,D14,Stabbing,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),-79.4287118274161,43.669299617974,-8841963.7549473,5414407.35113029
55,GO-2004734705,12/1/2004 5:00:00 AM,2004,December,1,Wednesday,336,D14,Stabbing,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),-79.4287118274161,43.669299617974,-8841963.7549473,5414407.35113029
56,GO-2004735933,12/2/2004 5:00:00 AM,2004,December,2,Thursday,337,D42,Other,133,Centennial Scarborough (133),133,Centennial Scarborough (133),-79.169285318696,43.7820373852884,-8813084.52817847,5431773.69069601
57,GO-2004734029,12/3/2004 5:00:00 AM,2004,December,3,Friday,338,D54,Stabbing,058,Old East York (58),058,Old East York (58),-79.3287658345987,43.6959378070911,-8830837.81801103,5418507.8008735
58,GO-2004735980,12/11/2004 5:00:00 AM,2004,December,11,Saturday,346,D33,Stabbing,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),-79.3849625101428,43.7521612887036,-8837093.60325631,5427168.33570421
59,GO-2004730198,12/11/2004 5:00:00 AM,2004,December,11,Saturday,346,D14,Stabbing,079,University (79),079,University (79),-79.4018171352701,43.6576337993323,-8838969.85152882,5412612.19004248
60,GO-2004775505,12/12/2004 5:00:00 AM,2004,December,12,Sunday,347,D54,Stabbing,054,O'Connor-Parkview (54),054,O'Connor-Parkview (54),-79.3090015531075,43.7087078852371,-8828637.6682029,5420474.16085847
61,GO-2004736004,12/19/2004 5:00:00 AM,2004,December,19,Sunday,354,D51,Shooting,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3788570492054,43.6606708997747,-8836413.94644673,5413079.51203103
62,GO-2004811677,12/19/2004 5:00:00 AM,2004,December,19,Sunday,354,D41,Shooting,124,Kennedy Park (124),124,Kennedy Park (124),-79.2565177228836,43.730765285934,-8822795.19497242,5423871.5868602
63,GO-2004730003,12/20/2004 5:00:00 AM,2004,December,20,Monday,355,D54,Shooting,044,Flemingdon Park (44),044,Flemingdon Park (44),-79.3277681347897,43.7126171721636,-8830726.75455507,5421076.20377766
64,GO-2004860547,12/31/2004 5:00:00 AM,2004,December,31,Friday,366,D42,Stabbing,123,Cliffcrest (123),123,Cliffcrest (123),-79.2359037543924,43.7353739841123,-8820500.45844011,5424581.60685279
65,GO-2005879569,1/14/2005 5:00:00 AM,2005,January,14,Friday,14,D42,Stabbing,130,Milliken (130),130,Milliken (130),-79.2652312366933,43.8273743454401,-8823765.17891392,5438766.71280066
66,GO-2005910043,1/18/2005 5:00:00 AM,2005,January,18,Tuesday,18,D14,Stabbing,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),-79.4244483275301,43.6653782126315,-8841489.14440963,5413803.87804886
