TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2024,2,11,22,5,10XX BEACH AVE,Central Business District,490249.2307,5458166.833
Break and Enter Commercial,2024,10,7,17,17,10XX BEACH AVE,Central Business District,490258.4148,5458154.853
Break and Enter Commercial,2024,5,2,1,33,10XX BEACH AVE,Central Business District,490268.432,5458142.577
Break and Enter Commercial,2024,12,8,17,0,10XX BEACH AVE,Central Business District,490269.91,5458141.126
Break and Enter Commercial,2024,3,17,0,0,10XX BROUGHTON ST,West End,490233.2324,5459143.981
Break and Enter Commercial,2024,6,16,16,0,10XX BROUGHTON ST,West End,490233.2324,5459143.981
Break and Enter Commercial,2024,1,8,0,0,10XX BROUGHTON ST,West End,490247.1512,5459171.042
Break and Enter Commercial,2024,1,18,12,5,10XX BROUGHTON ST,West End,490247.1512,5459171.042
Break and Enter Commercial,2024,12,9,17,30,10XX BROUGHTON ST,West End,490247.1512,5459171.042
Break and Enter Commercial,2024,12,18,3,35,10XX BROUGHTON ST,West End,490247.1512,5459171.042
Break and Enter Commercial,2024,12,26,11,54,10XX BROUGHTON ST,West End,490247.1512,5459171.042
Break and Enter Commercial,2024,9,16,23,44,10XX BROUGHTON ST,West End,490254.0011,5459164.965
Break and Enter Commercial,2024,10,9,15,49,10XX BURNABY ST,West End,490423.396,5458517.254
Break and Enter Commercial,2024,11,16,9,38,10XX BURNABY ST,West End,490424.6861,5458502.886
Break and Enter Commercial,2024,12,21,1,43,10XX BURNABY ST,West End,490462.4746,5458477.442
Break and Enter Commercial,2024,2,29,6,0,10XX BURRARD ST,West End,490729.6302,5458622.14
Break and Enter Commercial,2024,7,21,23,56,10XX BURRARD ST,Central Business District,490758.7224,5458638.636
Break and Enter Commercial,2024,6,28,2,9,10XX BUTE ST,West End,490409.1263,5458906.32
Break and Enter Commercial,2024,6,27,18,30,10XX CAMBIE ST,Central Business District,491327.6374,5458026.051
Break and Enter Commercial,2024,8,8,7,37,10XX CAMBIE ST,Central Business District,491327.6374,5458026.051
Break and Enter Commercial,2024,1,16,1,40,10XX CANADA PL,Central Business District,491431.5391,5459568.216
Break and Enter Commercial,2024,8,3,6,40,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2024,9,20,9,36,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2024,8,18,3,2,10XX CLARK DR,Strathcona,494373.4663,5458099.309
Break and Enter Commercial,2024,8,24,11,32,10XX E HASTINGS ST,Strathcona,494045.235,5458690.217
Break and Enter Commercial,2024,4,13,12,7,10XX E KENT AVE N,Sunset,493850.9547,5450670.581
Break and Enter Commercial,2024,12,5,0,15,10XX GILFORD ST,West End,489790.0823,5459725.228
Break and Enter Commercial,2024,5,17,10,31,10XX GRANVILLE ST,Central Business District,491007.0556,5458468.611
Break and Enter Commercial,2024,5,27,0,0,10XX GRANVILLE ST,Central Business District,491008.4524,5458470.039
Break and Enter Commercial,2024,7,7,6,20,10XX GRANVILLE ST,Central Business District,491008.4524,5458470.039
